Starting Setup...
Data Rate : 4
Calculating Current Offset...
Current Offset: 62.54
Begging Data Collection in 2 Seconds...
"Time[ms], Throttle[1000 -> 2000], Current[A], Frequency [Hz]"
"8907,1000,-0.06,111"
"8919,1000,-0.06,83"
"8929,1000,-0.10,100"
"8940,1000,-0.05,90"
"8950,1000,-0.02,100"
"8961,1000,-0.01,90"
"8972,1000,-0.04,90"
"8982,1000,-0.04,100"
"8992,1000,-0.04,100"
"9004,1000,-0.04,83"
"9014,1000,-0.05,100"
"9024,1000,-0.06,100"
"9035,1000,-0.08,90"
"9046,1000,-0.05,90"
"9056,1000,-0.06,100"
"9067,1000,-0.04,90"
"9077,1000,-0.05,100"
"9088,1000,-0.01,90"
"9099,1000,-0.05,90"
"9109,1000,-0.07,100"
"9119,1000,-0.01,100"
"9131,1000,0.03,83"
"9141,1000,0.01,100"
"9151,1000,0.04,100"
"9162,1000,0.01,90"
"9172,1000,-0.01,100"
"9183,1000,-0.04,90"
"9193,1000,-0.05,100"
"9204,1000,-0.08,90"
"9214,1000,-0.09,100"
"9226,1000,-0.08,83"
"9236,1000,-0.09,100"
"9246,1000,-0.05,100"
"9257,1000,-0.03,90"
"9268,1000,-0.03,90"
"9278,1000,-0.01,100"
"9288,1000,-0.01,100"
"9299,1000,0.04,90"
"9310,1000,0.01,90"
"9320,1000,0.01,100"
"9331,1000,0.01,90"
"9341,1000,-0.02,100"
"9352,1000,-0.01,90"
"9363,1000,0.00,90"
"9373,1000,-0.02,100"
"9383,1000,-0.02,100"
"9395,1000,-0.02,83"
"9405,1000,-0.01,100"
"9415,1000,0.05,100"
"9426,1000,0.03,90"
"9437,1000,0.05,90"
"9447,1000,0.01,100"
"9458,1000,0.01,90"
"9468,1000,0.00,100"
"9479,1000,0.01,90"
"9490,1000,0.02,90"
"9500,1000,0.09,100"
"9510,1000,0.08,100"
"9522,1000,0.02,83"
"9532,1000,-0.02,100"
"9542,1000,-0.04,100"
"9553,1000,-0.01,90"
"9564,1000,0.03,90"
"9574,1000,-0.01,100"
"9585,1000,-0.02,90"
"9595,1000,-0.02,100"
"9606,1000,-0.05,90"
"9617,1000,-0.02,90"
"9627,1000,-0.03,100"
"9637,1000,-0.06,100"
